;tweetid;stance;sent
0;921191642844954624;believer;positive
1;1422548442665177089;deny;neutral
2;953945068502593536;believer;neutral
3;1435016842326708224;deny;positive
4;1468300558641553411;believer;positive
5;682414349252726784;deny;positive
6;1456901286297681929;believer;positive
7;1425192287177527304;believer;neutral
8;1067757045091311616;believer;positive
9;1438956203879641095;believer;positive
10;1067576937487380480;believer;negative
11;1452132536562319365;believer;negative
12;1069652278523645953;believer;neutral
13;1461085925174169603;believer;negative
14;990328836297576449;deny;negative
15;1474357582584233985;believer;positive
16;1458734316473634817;believer;positive
17;937944306945474560;believer;positive
18;991326579409260545;believer;negative
19;983404682260439040;believer;neutral
20;1069326939188617218;believer;neutral
21;1068144529180672001;believer;positive
22;1442956066384322566;believer;negative
23;1514310842493374477;believer;positive
24;1031956987658027014;believer;positive
25;1420788497242365961;believer;positive
26;1477523842713018369;believer;positive
27;330468022022205440;deny;negative
28;1484548315257655300;believer;negative
29;1457487863101202437;deny;negative
30;1067810363486408709;deny;negative
31;985758014698213376;believer;negative
32;980875334944829440;believer;positive
33;1438406580320411649;believer;negative
34;1482701497867636744;believer;positive
35;1441554872357294080;believer;positive
36;1453444522159968258;believer;positive
37;1469321594883432449;believer;positive
38;870450177034924032;believer;positive
39;1461221258583068673;deny;negative
40;1456966112982228996;believer;positive
41;1460692396178608132;believer;neutral
42;1514577299949170688;believer;positive
43;1432117423772160001;believer;positive
44;934956150507704320;believer;positive
45;1453131035592507397;deny;negative
46;625204266207154176;believer;positive
47;1444344167627464708;deny;negative
48;774442315830136832;deny;positive
49;1453992128808370177;believer;negative
50;1453482320229388288;believer;positive
51;961077391278985216;believer;negative
52;1459298342731755520;believer;positive
53;1426678944095408128;believer;neutral
54;1483975882477817861;believer;neutral
55;953881458564677633;believer;positive
56;1501308662035488769;believer;positive
57;954159002883055616;believer;positive
58;1069645815705153537;believer;positive
59;986449266171297792;believer;positive
60;1512422200657137668;believer;neutral
61;988130322456887296;believer;positive
62;1514476433732739077;believer;neutral
63;984424817779773441;believer;negative
64;983099442642354176;believer;positive
65;1438191366757093391;believer;positive
66;1450105407180054528;deny;positive
67;1031098070430232576;believer;positive
68;988434256899792901;believer;negative
69;1453916825444438022;believer;neutral
70;1423019341172383744;believer;negative
71;1450066546806726660;deny;negative
72;1424994177608151042;deny;neutral
73;1446485211609456649;believer;negative
74;1430408818312179714;believer;positive
75;1446972365074669568;believer;positive
76;1456960777294909449;believer;positive
77;1468214482648420356;deny;neutral
78;1455454687038218244;believer;positive
79;1459225893466001414;deny;neutral
80;939772017250779136;deny;neutral
81;1461084490118283264;believer;positive
82;983692371647967232;believer;negative
83;1424571954695004160;believer;positive
84;1446106257190916101;believer;neutral
85;1477908448490762241;believer;positive
86;1501583310815830016;believer;positive
87;1035694613279981569;believer;positive
88;1069636322577530880;believer;positive
89;1514738495163564065;believer;positive
90;1453947211763515401;believer;positive
91;1445363259830415361;believer;positive
92;564561864302919680;deny;negative
93;951885378096586752;believer;positive
94;907562008350019584;deny;negative
95;1454151967060733952;believer;positive
96;1434581295938498562;believer;negative
97;1454365401350033408;believer;positive
98;1450254387461255169;believer;positive
99;1515365956373024772;believer;negative
100;1504944019939356674;believer;neutral
101;825041559896731648;believer;positive
102;1433915533976612864;believer;positive
103;1515363361587970056;believer;positive
104;1456901301007048710;believer;negative
105;661254113158676480;believer;neutral
106;1438552029857787907;believer;negative
107;1433899433457033220;believer;neutral
108;1067465916496179200;believer;positive
109;1422080230467022848;believer;positive
110;1450909316299382785;deny;neutral
111;1508022342450290693;believer;positive
112;1440511576138665995;believer;positive
113;1031126934737104896;believer;negative
114;1456896889660399621;believer;positive
115;988851663954960384;believer;negative
116;1471858503618752512;believer;neutral
117;55735368493965312;deny;negative
118;984133761141850112;believer;negative
119;1450832713959706628;deny;neutral
120;1483365030049501190;believer;positive
121;1446215829335515138;deny;negative
122;1031908578788106241;believer;negative
123;1456907088668475395;believer;negative
124;953106288099110913;believer;positive
125;1067705318568849409;believer;negative
126;1500172915412815872;believer;positive
127;563581664157118464;deny;negative
128;952394117325074433;believer;positive
129;1517333511652651009;believer;positive
130;986946959876423680;deny;negative
131;1456373854134226950;believer;positive
132;1441802981280608257;believer;positive
133;1498509680192245761;believer;negative
134;941221096837148672;believer;positive
135;953020699328819201;believer;positive
136;1430086571915628553;believer;positive
137;1067484729941913601;believer;positive
138;566031525183897600;deny;neutral
139;603943465408421888;believer;positive
140;1427779749917691912;believer;neutral
141;1034524264655978496;believer;negative
142;1425393565727961091;deny;negative
143;1446416893036974083;deny;neutral
144;1423389015076741127;believer;neutral
145;1455433456075218946;believer;neutral
146;1516570627062513665;believer;positive
147;952433173975085056;believer;positive
